movieId,title,year,genres,rating,sentiment
1,Toy Story (1995),1995,Adventure|Animation|Children|Comedy|Fantasy,3.9,65.59999999999991
2,Jumanji (1995),1995,Adventure|Children|Fantasy,3.2,-5.8
3,Grumpier Old Men (1995),1995,Comedy|Romance,3.2,3.0
4,Waiting to Exhale (1995),1995,Comedy|Drama|Romance,2.9,-0.2
5,Father of the Bride Part II (1995),1995,Comedy,3.1,0.7000000000000002
6,Heat (1995),1995,Action|Crime|Thriller,3.8,-16.50000000000002
7,Sabrina (1995),1995,Comedy|Romance,3.4,8.799999999999997
8,Tom and Huck (1995),1995,Adventure|Children,3.1,0.0
9,Sudden Death (1995),1995,Action,3.0,-0.7
10,GoldenEye (1995),1995,Action|Adventure|Thriller,3.4,0.8
11,"American President, The (1995)",1995,Comedy|Drama|Romance,3.7,7.199999999999998
12,Dracula: Dead and Loving It (1995),1995,Comedy|Horror,2.7,-0.3
13,Balto (1995),1995,Adventure|Animation|Children,3.3,-0.6000000000000001
14,Nixon (1995),1995,Drama,3.4,0.8
15,Cutthroat Island (1995),1995,Action|Adventure|Romance,2.7,3.3999999999999986
16,Casino (1995),1995,Crime|Drama,3.8,-8.099999999999998
17,Sense and Sensibility (1995),1995,Drama|Romance,4.0,29.699999999999996
18,Four Rooms (1995),1995,Comedy,3.4,5.400000000000001
19,Ace Ventura: When Nature Calls (1995),1995,Comedy,2.6,12.700000000000005
20,Money Train (1995),1995,Action|Comedy|Crime|Drama|Thriller,2.9,0.0
21,Get Shorty (1995),1995,Comedy|Crime|Thriller,3.6,-3.0
22,Copycat (1995),1995,Crime|Drama|Horror|Mystery|Thriller,3.3,-4.300000000000004
23,Assassins (1995),1995,Action|Crime|Thriller,3.2,-1.4999999999999996
24,Powder (1995),1995,Drama|Sci-Fi,3.2,2.220446049250313e-16
25,Leaving Las Vegas (1995),1995,Drama|Romance,3.7,-13.6
26,Othello (1995),1995,Drama,3.6,2.0
27,Now and Then (1995),1995,Children|Drama,3.4,1.8000000000000003
28,Persuasion (1995),1995,Drama|Romance,4.0,0.9
