genre,year,rating,sentiment,count
0,1900,0,0,0
Documentary,0,3.3,-1,20
Documentary,1874,3.3,-1,0
Documentary,1888,3.3,-1,0
Documentary,1891,1.5,0,4
Documentary,1892,1.5,0,0
Documentary,1894,2.1,1,12
Documentary,1895,3.1,0,3
Documentary,1896,2.9,1,7
Documentary,1897,2.8,-1,2
Fantasy,1898,3.3,-1,6
Fantasy,1899,3.1,-1,3
Comedy,1900,2.7,0,3
Comedy,1901,2.8,-1,4
Fantasy,1902,2.9,1,2
Fantasy,1903,3.1,-1,9
Fantasy,1904,3.2,-1,2
Fantasy,1905,2.8,1,3
Comedy,1906,2.8,-1,7
Fantasy,1907,2.6,-1,5
Comedy,1908,3.0,-1,7
Fantasy,1909,2.9,1,5
Drama,1910,2.9,1,3
Comedy,1911,3.5,0,2
Comedy,1912,3.0,-1,3
Drama,1913,2.8,-1,6
Comedy,1914,2.8,-1,12
Drama,1915,3.2,-1,10
Comedy,1916,3.1,1,10
Comedy,1917,3.1,-1,9
Drama,1918,3.0,1,4
Drama,1919,3.3,-1,12
Comedy,1920,3.4,1,9
Comedy,1921,3.1,-1,16
Drama,1922,3.0,-1,11
Drama,1923,3.2,-1,12
Drama,1924,3.5,-1,17
Drama,1925,3.2,-1,21
Drama,1926,3.3,-1,24
Drama,1927,3.3,1,23
Drama,1928,3.4,1,36
Drama,1929,3.2,1,46
Drama,1930,3.1,-1,45
Drama,1931,3.2,1,65
Drama,1932,3.1,-1,74
Drama,1933,3.3,-1,65
Drama,1934,3.2,-1,64
Drama,1935,3.1,-1,61
Drama,1936,3.2,1,60
Drama,1937,3.1,-1,73
Drama,1938,3.2,1,58
Drama,1939,3.3,-1,67
Drama,1940,3.3,1,76
Comedy,1941,3.3,1,69
Drama,1942,3.1,1,60
Drama,1943,3.3,-1,59
Drama,1944,3.1,-1,68
Drama,1945,3.2,-1,63
Drama,1946,3.2,1,70
Drama,1947,3.2,-1,87
Drama,1948,3.2,-1,90
Drama,1949,3.1,-1,107
Drama,1950,3.2,-1,95
Drama,1951,3.2,-1,96
Drama,1952,3.2,-1,91
Drama,1953,3.2,1,93
Drama,1954,3.2,1,90
Drama,1955,3.3,-1,110
Drama,1956,3.3,-1,97
Drama,1957,3.3,-1,109
Drama,1958,3.3,-1,93
Drama,1959,3.3,-1,101
Drama,1960,3.4,-1,103
Drama,1961,3.4,1,84
Drama,1962,3.3,-1,116
Drama,1963,3.4,-1,80
Drama,1964,3.4,-1,106
Drama,1965,3.4,-1,106
Drama,1966,3.3,-1,104
Drama,1967,3.3,-1,115
Drama,1968,3.1,1,129
Drama,1969,3.3,-1,135
Drama,1970,3.2,-1,159
Drama,1971,3.3,-1,138
Drama,1972,3.3,-1,155
Drama,1973,3.2,-1,151
Drama,1974,3.2,-1,129
Drama,1975,3.2,-1,125
Drama,1976,3.2,-1,147
Drama,1977,3.1,-1,131
Drama,1978,3.2,-1,114
Drama,1979,3.2,-1,134
Drama,1980,3.2,-1,118
Drama,1981,3.2,-1,130
Drama,1982,3.3,-1,129
Drama,1983,3.3,-1,119
Drama,1984,3.3,-1,146
Drama,1985,3.2,-1,131
Drama,1986,3.3,-1,141
Drama,1987,3.3,-1,157
Drama,1988,3.3,1,156
Drama,1989,3.3,1,150
Drama,1990,3.3,1,164
Drama,1991,3.2,-1,181
Drama,1992,3.3,1,179
Drama,1993,3.3,-1,202
Drama,1994,3.2,1,220
Drama,1995,3.3,-1,221
Drama,1996,3.3,1,265
Drama,1997,3.2,1,282
Drama,1998,3.2,-1,295
Drama,1999,3.2,-1,293
Drama,2000,3.2,-1,352
Drama,2001,3.2,1,339
Drama,2002,3.1,-1,404
Drama,2003,3.2,1,373
Drama,2004,3.2,1,421
Drama,2005,3.2,-1,486
Drama,2006,3.2,-1,526
Drama,2007,3.2,-1,553
Drama,2008,3.2,-1,566
Drama,2009,3.2,-1,592
Drama,2010,3.2,1,528
Drama,2011,3.2,1,583
Drama,2012,3.2,-1,604
Drama,2013,3.2,1,647
Drama,2014,3.2,1,662
Drama,2015,3.2,-1,644
Drama,2016,3.2,-1,607
Drama,2017,3.2,-1,486
Drama,2018,3.1,-1,178
Crime,3,3.0,1,1
Children,38,3.2,0,1
Children,5,3.2,0,0
